Gene ID,Gene Name,Design Element,'mbf1c mutant' vs 'wild type' at '0 minute'.foldChange,'mbf1c mutant' vs 'wild type' at '0 minute'.pValue,'mbf1c mutant' vs 'wild type' at '0 minute'.tStat,'mbf1c mutant' vs 'wild type' at '20 minute'.foldChange,'mbf1c mutant' vs 'wild type' at '20 minute'.pValue,'mbf1c mutant' vs 'wild type' at '20 minute'.tStat,'mbf1c mutant' vs 'wild type' at '60 minute'.foldChange,'mbf1c mutant' vs 'wild type' at '60 minute'.pValue,'mbf1c mutant' vs 'wild type' at '60 minute'.tStat
AT2G46780,AT2G46780,266715_at,-0.1,0.962312862935318,-0.486504500561516,,,,,,
AT2G46800,MTP 1.00,266718_at,0.1,0.969577963382233,0.367134971199428,,,,,,
AT2G46820,CURT1B,266716_at,0.2,0.954458871645888,0.812114596958971,,,,,,
AT2G46830,CCA1,266719_at,-1.0,0.953143672175718,-1.16816832239817,-0.6,0.918116452256233,-0.593928771575534,-0.9,0.690458826834404,-1.36994977234112
AT2G46840,DUF4,266740_at,-0.1,0.954458871645888,-0.853832013584077,,,,,,
AT2G46860,PPA3,266765_at,-0.2,0.953143672175718,-1.31766586938938,,,,,,
AT2G46900,AT2G46900,266734_at,-0.2,0.953143672175718,-1.01570446506563,,,,,,
AT2G46930,PAE3,266735_at,-0.2,0.953143672175718,-1.73223611935855,,,,,,
AT2G46960,CYP709B1,266736_at,-0.1,0.954458871645888,-0.809739586344333,,,,,,
AT2G46990,IAA20,266753_at,-0.1,0.954458871645888,-0.811043364402599,,,,,,
AT2G47000,ABCB4,266752_at,-0.3,0.953143672175718,-3.15352724406597,,,,,,
AT2G47020,AT2G47020,266751_at,-0.1,0.959171010660004,-0.594417354306004,,,,,,
AT2G47050,AT2G47050,266764_at,0.1,0.959171010660004,0.682737278087454,,,,,,
AT2G47060,AT2G47060,266749_at,-0.1,0.959171010660004,-0.7036590255542,,,,,,
AT2G47070,SPL1,266763_at,-0.1,0.959095922721702,-0.731968183594301,,,,,,
AT2G47130,SDR3A,266761_at,-0.1,0.954458871645888,-0.792673535776274,,,,,,
AT2G47140,SDR3B,266737_at,-0.2,0.953143672175718,-1.22958699044526,,,,,,
AT2G47150,AT2G47150,266755_at,-0.1,0.962312862935318,-0.487493180729393,,,,,,
AT2G47160,BOR1,263319_at,0.2,0.954458871645888,0.803317093499258,,,,,,
AT2G47180,GOLS1,263320_at,-0.3,0.959171010660004,-0.624189167517147,0.3,0.940478123349949,0.508087355509459,,,
AT2G47190,ATMYB2,260581_at,-0.1,0.963964596032026,-0.460790915571563,,,,,,
AT2G47200,AT2G47200,260582_at,-0.1,0.959171010660004,-0.610067295987418,,,,,,
AT2G47230,DUF6,260524_at,-0.1,0.959171010660004,-0.616060169934833,,,,,,
AT2G47240,LACS1,260531_at,0.1,0.959171010660004,0.571812328515071,,,,,,
AT2G47250,AT2G47250,260525_at,0.1,0.961737379567544,0.50830952801717,,,,,,
AT2G47270,UPB1,260527_at,-0.1,0.953143672175718,-0.898347619448705,,,,,,
AT2G47300,AT2G47300,260574_at,-0.1,0.954253784789457,-0.88018932086437,,,,,,
