Gene ID,Gene Name,Design Element,'mbf1c mutant' vs 'wild type' at '0 minute'.p-value,'mbf1c mutant' vs 'wild type' at '0 minute'.t-statistic,'mbf1c mutant' vs 'wild type' at '0 minute'.log2foldchange,'mbf1c mutant' vs 'wild type' at '20 minute'.p-value,'mbf1c mutant' vs 'wild type' at '20 minute'.t-statistic,'mbf1c mutant' vs 'wild type' at '20 minute'.log2foldchange,'mbf1c mutant' vs 'wild type' at '60 minute'.p-value,'mbf1c mutant' vs 'wild type' at '60 minute'.t-statistic,'mbf1c mutant' vs 'wild type' at '60 minute'.log2foldchange
AT1G18160,,256121_at,0.960991140134083,-0.520213485501759,-0.1,NA,0.0765545352345637,0,NA,-1.21285385722959,-0.2
AT1G18170,FKBP17-2,256130_at,0.959171010660004,-0.650433919374686,-0.1,NA,0.227037799785986,0,NA,-0.87090447192294,-0.1
AT1G18180,,256122_at,0.953143672175718,0.978610656963225,0.2,NA,-0.439006052761292,-0.1,NA,1.04378894919462,0.2
AT1G18190,GC2,256123_at,0.984356637630244,-0.156211639414172,0,NA,-0.339990463503827,0,NA,-0.090891775015517,0
AT1G18197,,256127_at,0.953143672175718,-1.31490043816906,-0.2,NA,-0.957481167819034,-0.2,NA,1.04223997589851,0.1
AT1G18210,CML27,256129_at,0.963622176673316,-0.470227909478323,-0.1,NA,-1.00922955438117,-0.2,NA,2.14329685151522,0.5
AT1G18220,ATPUP9,256124_at,NA,-0.0367992120085433,0,NA,-0.176455422909772,0,NA,0.540550884896504,0.1
AT1G18250,ATLP-1,256125_at,0.953143672175718,1.55654226559967,0.3,NA,-1.14365225562792,-0.3,NA,0.387370542228198,0.1
AT1G18260,HRD3A,256074_at,0.959171010660004,-0.671278811622893,-0.1,NA,0.68348493730944,0.1,NA,1.40427333722703,0.2
AT1G18270,,261674_at,0.953143672175718,-1.22867245721314,-0.2,NA,-1.11006219981625,-0.2,NA,1.48800492981068,0.2
AT1G18280,,261673_at,0.953143672175718,-1.46755883244181,-0.2,NA,-1.0011134457144,-0.1,NA,-0.565860282552427,-0.1
AT1G18290,,261675_at,0.953143672175718,-3.06011173720668,-0.3,NA,-0.77731924334411,-0.1,NA,-1.66300364523041,-0.2
AT1G18310,,261665_at,0.966839096680943,0.395897410280344,0,NA,-0.237763221607136,0,NA,0.967823884622916,0.2
AT1G18340,TFB4,261671_at,0.967591374490665,0.387283280534517,0,NA,0.547767828525577,0.1,NA,-2.04840492403175,-0.3
AT1G18350,MKK7,261662_at,NA,-0.0259043011198565,0,NA,-0.325078496450867,0,NA,-0.180514848424259,0
AT1G18360,,261661_at,0.953143672175718,-0.901415448048427,-0.2,NA,0.456427333903205,0.1,NA,-1.26874718679429,-0.3
AT1G18370,KIN7A,261660_at,0.953143672175718,2.12005584899957,0.6,0.975453788035965,-0.245800243029065,-0.1,NA,0.971352822471259,0.3
AT1G18390,,261719_at,0.953143672175718,-0.888170427494744,-0.1,NA,1.08685056909266,0.1,NA,-0.154667690891274,0
AT1G18400,BEE1,261717_at,0.956044959703157,-0.760916316243242,-0.1,NA,1.73572784955146,0.3,NA,1.15939821271388,0.4
AT1G18410,,261716_at,0.954458871645888,-0.789842943937151,-0.1,NA,0.435099416199132,0.1,NA,-0.34923513363967,-0.1
AT1G18440,,261666_at,0.962312862935318,0.486858207719332,0.1,NA,-0.138531141238411,0,NA,0.392665511576879,0.1
AT1G18450,ARP 4.00,261672_at,0.953143672175718,1.14363810765318,0.1,NA,0.229904185045666,0,NA,0.111602987305816,0
AT1G18460,,261667_at,0.953143672175718,-1.3752002595067,-0.4,NA,0.607861966257792,0.2,NA,-0.475603544993224,-0.1
AT1G18470,,261677_at,0.960991140134083,-0.527411939114324,-0.1,NA,0.658126824426024,0.1,NA,0.969210432180905,0.2
AT1G18480,SLP2,261676_at,0.996204240714584,-0.0368899175130982,0,NA,0.955226837939972,0.1,NA,0.629618913220273,0.1
AT1G18485,PCMP-H8,261715_at,0.953143672175718,1.35522042801848,0.2,NA,-0.174554780887961,0,NA,-0.0558548329752198,0
AT1G18490,PCO3,261669_at,0.953143672175718,1.40113068076523,0.2,NA,-1.48675717837979,-0.3,NA,0.697498319842036,0.1
AT1G18500,IPMS1,261668_at,0.9718026617393,0.346680364088179,0,NA,-0.626781220437026,-0.1,NA,0.538573938744028,0.1
AT1G18510,TET16,261714_at,NA,-0.731298158864647,-0.1,NA,-0.973629455217735,-0.1,NA,1.73151941647737,0.2
AT1G18520,TET11,261670_at,0.953143672175718,-2.33041670445298,-0.3,NA,0.202243845050599,0,NA,0.443450301490612,0.1
AT1G18530,CML15,255772_at,0.953143672175718,-1.43209322684824,-0.2,NA,-0.239967430756909,0,NA,1.03598511883976,0.1
AT1G18540,RPL6A,255776_at,0.954458871645888,0.841296520883138,0.2,NA,-1.15151897484116,-0.3,NA,0.968208066268903,0.2
AT1G18560,,255770_at,0.974184460692411,0.309951467240189,0,NA,-1.5933722834437,-0.3,NA,-0.214919266333934,0
AT1G18570,MYB51,255753_at,0.959171010660004,-0.683270846176696,-0.1,NA,1.47869810189055,0.3,NA,3.07201522917168,0.9
AT1G18580,GAUT11,255780_at,0.953143672175718,-1.7160829236854,-0.2,NA,-1.06603327099022,-0.1,NA,0.158535868951779,0
AT1G18590,SOT17,255773_at,0.959171010660004,0.729515801691901,0.2,NA,0.423936556044901,0.1,0.822648285101667,-0.850849966631874,-0.4
AT1G18600,RBL12,255775_at,NA,-0.305883660696589,0,NA,-2.89594177680912,-0.4,NA,-0.32799693754996,-0.1
AT1G18610,,255769_at,0.96649378439825,0.415200172039858,0.1,NA,0.718938458999308,0.1,NA,0.982898196080734,0.1
AT1G18620,,255774_at,0.953143672175718,-0.97381465937651,-0.3,NA,1.21724783406991,0.3,NA,-0.178292936693082,-0.1
AT1G18630,RBG6,255777_at,0.992232859748639,-0.0702584319346449,0,NA,-1.52750330217006,-0.3,NA,0.391609314809107,0.1
AT1G18640,PSP,255778_at,0.963964596032026,0.461047632848522,0.1,NA,-0.0904859825609851,0,NA,-0.420609348335904,-0.1
AT1G18650,PDCB3,255779_at,0.980371265573574,0.241373021063095,0,NA,-0.116211506079601,0,NA,-0.366040856841845,-0.1
